Text	POS	Dep	Head
LES	DET	det	REVOLTES
REVOLTES	NOUN	ROOT	REVOLTES
DE	ADP	case	LA
LA	DET	nmod	REVOLTES
"	PUNCT	punct	BOUNTY
BOUNTY	PROPN	nmod	LA
"	PUNCT	punct	BOUNTY
Jules	PROPN	ROOT	Jules
Verne	PROPN	flat:name	Jules
L'	DET	det	ABANDON
ABANDON	PROPN	ROOT	ABANDON
----------------	PROPN	ROOT	----------------
			SPACE	ROOT			
  	SPACE	ROOT	  
Pas	ADV	ROOT	Pas
le	DET	det	souffle
moindre	ADJ	amod	souffle
souffle	NOUN	ROOT	souffle
,	PUNCT	punct	souffle
pas	ADV	advmod	ride
une	DET	det	ride
ride	NOUN	ROOT	ride
à	ADP	case	surface
la	DET	det	surface
surface	NOUN	nmod	ride
de	ADP	case	mer
la	DET	det	mer
mer	VERB	nmod	surface
,	PUNCT	punct	ride
pas	ADV	advmod	nuage
un	DET	det	nuage
nuage	NOUN	nmod	ride
au	ADP	case	ciel
ciel	NOUN	nmod	nuage
.	PUNCT	punct	ride
Les	DET	det	splendides
splendides	NOUN	nsubj	dessinent
constellations	NOUN	nmod	splendides
de	ADP	case	hémisphère
l'	DET	det	hémisphère
hémisphère	NOUN	nmod	splendides
austral	ADJ	amod	hémisphère
se	PRON	expl:comp	dessinent
dessinent	VERB	ROOT	dessinent
avec	ADP	case	pureté
une	DET	det	pureté
incomparable	ADJ	amod	pureté
pureté	VERB	obl:mod	dessinent
.	PUNCT	punct	dessinent
Les	DET	det	voiles
voiles	NOUN	nsubj	pendent
de	ADP	case	Bounty
la	DET	det	Bounty
Bounty	PROPN	nmod	voiles
 	SPACE	dep	Bounty
pendent	NOUN	ROOT	pendent
le	DET	det	long
long	NOUN	obj	pendent
des	ADP	case	mâts
mâts	NOUN	nmod	long
,	PUNCT	punct	immobile
le	DET	det	bâtiment
bâtiment	NOUN	nsubj	immobile
est	AUX	cop	immobile
immobile	ADJ	conj	pendent
,	PUNCT	punct	immobile
et	CCONJ	cc	lumière
la	DET	det	lumière
lumière	NOUN	conj	pendent
de	ADP	case	lune
la	DET	det	lune
lune	NOUN	nmod	lumière
,	PUNCT	punct	lune
pâlissant	VERB	acl	lune
devant	ADP	case	aurore
l'	DET	det	aurore
aurore	NOUN	obl:mod	pâlissant
qui	PRON	nsubj	lève
se	PRON	expl:comp	lève
lève	VERB	acl:relcl	aurore
,	PUNCT	punct	lève
éclaire	ADJ	xcomp	lève
l'	DET	det	espace
espace	NOUN	obj	éclaire
d'	ADP	case	lueur
une	DET	det	lueur
lueur	NOUN	nmod	espace
indefinissable	ADJ	amod	lueur
.	PUNCT	punct	pendent
  	SPACE	ROOT	  
La	DET	det	Bounty
 	SPACE	dep	La
Bounty	PROPN	nsubj	quitté
,	PUNCT	punct	Bounty
navire	ADJ	amod	Bounty
de	ADP	case	tonneaux
deux	NUM	nummod	cent
cent	NUM	dep	de
quinze	NUM	nummod	tonneaux
tonneaux	NOUN	obl:arg	navire
monté	VERB	acl	tonneaux
par	ADP	case	quarante
quarante	NUM	obl:agent	monté
-	NUM	punct	quitté
six	NUM	nummod	hommes
hommes	NOUN	obl:mod	quitté
,	PUNCT	punct	quitté
avait	AUX	aux:tense	quitté
quitté	VERB	ROOT	quitté
Spithead	PROPN	amod	quitté
,	PUNCT	punct	quitté
le	DET	det	23
23	NUM	obl:mod	quitté
décembre	NOUN	nmod	23
l787	NOUN	nmod	décembre
,	PUNCT	punct	23
sous	ADP	case	commandement
le	DET	det	commandement
commandement	NOUN	obl:mod	quitté
du	ADP	case	capitaine
capitaine	NOUN	nmod	commandement
Bligh	PROPN	flat:name	capitaine
,	PUNCT	punct	marin
marin	ADJ	conj	commandement
expérimenté	ADJ	amod	marin
mais	CCONJ	cc	rude
un	DET	advmod	rude
peu	ADV	fixed	un
rude	ADJ	conj	commandement
,	PUNCT	punct	commandement
qui	PRON	nsubj	accompagné
avait	AUX	aux:tense	accompagné
accompagné	VERB	acl:relcl	commandement
le	DET	det	capitaine
capitaine	NOUN	obj	accompagné
Cook	PROPN	appos	capitaine
dans	ADP	case	voyage
son	DET	det	voyage
dernier	ADJ	amod	voyage
voyage	NOUN	obl:mod	accompagné
d'	ADP	case	exploration
exploration	NOUN	nmod	voyage
[	PUNCT	punct	quitté
Nous	PRON	nsubj	croyons
croyons	VERB	ROOT	croyons
bon	ADJ	xcomp	croyons
de	ADP	mark	prévenir
prévenir	VERB	obl:arg	bon
nos	DET	det	lecteurs
lecteurs	NOUN	obj	prévenir
que	PRON	mark	point
ce	DET	det	récit
récit	NOUN	nsubj	point
n'	ADV	advmod	point
est	AUX	aux:pass	point
point	VERB	acl:relcl	lecteurs
une	DET	det	fiction
fiction	NOUN	obl:mod	point
.	PUNCT	punct	croyons
Tous	ADJ	amod	détails
les	DET	det	détails
détails	NOUN	nsubj:pass	pris
en	PRON	iobj	pris
sont	AUX	aux:pass	pris
pris	VERB	ROOT	pris
aux	ADP	case	annales
annales	ADJ	obl:arg	pris
maritimes	NOUN	amod	annales
de	ADP	case	Grande-Bretagne
la	DET	det	Grande-Bretagne
Grande-Bretagne	PROPN	nmod	annales
.	PUNCT	punct	pris
La	DET	det	réalité
réalité	NOUN	nsubj	fournit
fournit	VERB	ROOT	fournit
quelquefois	ADV	advmod	fournit
des	DET	det	faits
faits	NOUN	obj	fournit
si	SCONJ	mark	romanesques
romanesques	NOUN	nmod	faits
que	PRON	mark	imagination
l'	DET	det	imagination
imagination	NOUN	nsubj	pourrait
elle-même	PRON	dep	imagination
ne	ADV	advmod	pourrait
pourrait	VERB	acl:relcl	faits
rien	PRON	nummod	ajouter.].
y	PRON	fixed	rien
ajouter.].	NOUN	obl:mod	pourrait
  	SPACE	ROOT	  
La	DET	det	Bounty
Bounty	PROPN	nsubj	mission
avait	AUX	aux:tense	mission
pour	ADP	case	mission
mission	NOUN	ROOT	mission
spéciale	ADJ	amod	mission
de	ADP	mark	transporter
transporter	VERB	acl	mission
aux	ADP	case	Antilles
Antilles	NOUN	obl:arg	transporter
l'	DET	det	arbre
arbre	NOUN	nmod	Antilles
à	ADP	case	pain
pain	NOUN	obl:mod	transporter
,	PUNCT	punct	transporter
qui	PRON	nsubj	pousse
pousse	ADJ	conj	transporter
à	ADP	case	profusion
profusion	NOUN	obl:arg	pousse
dans	ADP	case	archipel
l'	DET	det	archipel
archipel	NOUN	obl:mod	pousse
de	ADP	case	Taïti
Taïti	NOUN	nmod	archipel
.	PUNCT	punct	mission
Après	ADP	case	relâche
une	DET	det	relâche
relâche	NOUN	obl:mod	pris
de	ADP	case	mois
six	NUM	nummod	mois
mois	NOUN	nmod	relâche
dans	ADP	case	baie
la	DET	det	baie
baie	NOUN	nmod	relâche
de	ADP	case	Matavaï
Matavaï	PROPN	nmod	baie
,	PUNCT	punct	William
William	PROPN	nsubj	pris
Bligh	PROPN	flat:name	William
,	PUNCT	punct	William
ayant	AUX	aux:tense	chargé
chargé	VERB	acl	William
un	DET	det	millier
millier	NOUN	obj	chargé
de	ADP	case	arbres
ces	DET	det	arbres
arbres	NOUN	nmod	millier
,	PUNCT	punct	William
avait	AUX	aux:tense	pris
pris	VERB	ROOT	pris
la	DET	det	route
route	NOUN	obj	pris
des	ADP	case	Indes
Indes	NOUN	nmod	route
occidentales	ADJ	amod	Indes
,	PUNCT	punct	pris
après	ADP	case	assez
un	DET	det	assez
assez	NOUN	advmod	îles
court	ADJ	amod	assez
séjour	ADP	case	îles
aux	ADP	case	îles
îles	NOUN	advcl	pris
des	ADP	case	Amis
Amis	NOUN	nmod	îles
.	PUNCT	punct	pris
   	SPACE	ROOT	   
Maintes	PROPN	ROOT	Maintes
fois	NOUN	fixed	Maintes
,	PUNCT	punct	amené
le	DET	det	caractère
caractère	NOUN	nsubj	amené
soupçonneux	ADJ	amod	caractère
et	CCONJ	cc	emporté
emporté	VERB	conj	caractère
du	ADP	case	capitaine
capitaine	NOUN	nmod	caractère
avait	AUX	aux:tense	amené
amené	VERB	ROOT	amené
des	ADP	det	scènes
