Text	POS	Dep	Head
DE	ADP	case	TERRE
LA	DET	det	TERRE
TERRE	NOUN	ROOT	TERRE
A	NOUN	nmod	TERRE
LA	DET	det	LUNE
LUNE	NOUN	ROOT	LUNE
Trajet	PROPN	ROOT	Trajet
Direct	PROPN	flat:name	Trajet
en	ADP	case	Heures
97	NUM	nummod	Heures
Heures	NOUN	ROOT	Heures
20	NUM	nummod	Minutes
Minutes	NOUN	nmod	Heures
=	X	dep	=
=	X	dep	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	PRON	ROOT	=
=	VERB	ROOT	=
                                	SPACE	ROOT	                                
I	NOUN	ROOT	I
                       	SPACE	ROOT	                       
--------------------	PUNCT	ROOT	--------------------
                           	SPACE	ROOT	                           
LE	DET	det	GUN
GUN	PROPN	ROOT	GUN
-	PROPN	ROOT	-
CLUB	PROPN	ROOT	CLUB
Pendant	ADP	case	guerre
la	DET	det	guerre
guerre	NOUN	obl:mod	influent
fédérale	ADJ	amod	guerre
des	ADP	case	États-Unis
États-Unis	PROPN	nmod	guerre
,	PUNCT	punct	influent
un	DET	det	club
nouveau	ADJ	amod	club
club	NOUN	nsubj	influent
très	ADV	advmod	influent
influent	ADV	ROOT	influent
s'	PRON	expl:pass	établit
établit	VERB	xcomp	influent
dans	ADP	case	ville
la	DET	det	ville
ville	NOUN	obl:arg	établit
de	ADP	case	Baltimore
Baltimore	PROPN	nmod	ville
,	PUNCT	punct	ville
en	ADP	case	Maryland
plein	ADJ	amod	Maryland
Maryland	PROPN	nmod	ville
.	PUNCT	punct	influent
On	PRON	nsubj	sait
sait	VERB	ROOT	sait
avec	ADP	case	énergie
quelle	DET	det	énergie
énergie	NOUN	obl:mod	sait
l'	DET	det	instinct
instinct	NOUN	nsubj	développa
militaire	ADJ	amod	instinct
se	PRON	expl:comp	développa
développa	VERB	advcl	sait
chez	ADP	case	peuple
ce	DET	det	peuple
peuple	NOUN	obl:mod	développa
d'	ADP	case	armateurs
armateurs	NOUN	nmod	peuple
,	PUNCT	punct	marchands
de	ADP	case	marchands
marchands	NOUN	conj	armateurs
et	CCONJ	cc	mécaniciens
de	ADP	case	mécaniciens
mécaniciens	NOUN	conj	armateurs
.	PUNCT	punct	sait
De	ADP	det	négociants
simples	ADJ	amod	négociants
négociants	NOUN	nsubj	enjambèrent
enjambèrent	ADV	ROOT	enjambèrent
leur	DET	det	comptoir
comptoir	NOUN	obj	enjambèrent
pour	ADP	mark	improviser
s'	PRON	expl:comp	improviser
improviser	VERB	advcl	enjambèrent
capitaines	ADJ	obj	improviser
,	PUNCT	punct	improviser
colonels	ADJ	conj	improviser
,	PUNCT	punct	généraux
généraux	NOUN	conj	colonels
,	PUNCT	punct	improviser
sans	ADP	mark	passé
avoir	AUX	aux:tense	passé
passé	VERB	advcl	improviser
par	ADP	case	écoles
les	DET	det	écoles
écoles	NOUN	obl:agent	passé
d'	ADP	case	application
application	NOUN	nmod	écoles
de	ADP	case	West
West	PROPN	nmod	application
-	PROPN	nmod	écoles
Point	PROPN	nmod	écoles
[	PUNCT	punct	enjambèrent
École	NOUN	obl:mod	enjambèrent
militaire	ADJ	nmod	École
des	ADP	case	États-Unis
États-Unis	PROPN	nmod	École
.	PUNCT	punct	enjambèrent
]	PUNCT	punct	égalèrent
;	PUNCT	punct	égalèrent
ils	PRON	nsubj	égalèrent
égalèrent	VERB	ROOT	égalèrent
bientôt	ADV	advmod	égalèrent
dans	ADP	case	«
«	PROPN	obl:arg	égalèrent
L'	DET	det	art
art	NOUN	nsubj	collègues
de	ADP	case	guerre
la	DET	det	guerre
guerre	NOUN	nmod	art
»	PUNCT	punct	collègues
leurs	DET	det	collègues
collègues	NOUN	ROOT	collègues
du	ADP	case	continent
vieux	ADJ	amod	continent
continent	NOUN	nmod	collègues
,	PUNCT	punct	collègues
et	CCONJ	cc	remportèrent
comme	ADP	case	eux
eux	PRON	obl:mod	remportèrent
ils	PRON	nsubj	remportèrent
remportèrent	VERB	conj	collègues
des	ADP	case	victoires
victoires	NOUN	obl:arg	remportèrent
à	ADP	case	force
force	NOUN	obl:mod	remportèrent
de	ADP	mark	prodiguer
prodiguer	VERB	acl	force
les	DET	det	boulets
boulets	NOUN	obj	prodiguer
,	PUNCT	punct	millions
les	DET	det	millions
millions	NOUN	conj	force
et	CCONJ	cc	hommes
les	DET	det	hommes
hommes	NOUN	conj	millions
.	PUNCT	punct	collègues
Mais	CCONJ	cc	surpassèrent
en	ADP	case	quoi
quoi	PRON	dep	surpassèrent
les	DET	det	Américains
Américains	NOUN	nsubj	surpassèrent
surpassèrent	VERB	ROOT	surpassèrent
singulièrement	VERB	xcomp	surpassèrent
les	DET	det	Européens
Européens	NOUN	obj	singulièrement
,	PUNCT	punct	surpassèrent
ce	PRON	nsubj	science
fut	AUX	cop	science
dans	ADP	case	science
la	DET	det	science
science	NOUN	obl:mod	surpassèrent
de	ADP	case	balistique
la	DET	det	balistique
balistique	NOUN	nmod	science
.	PUNCT	punct	surpassèrent
Non	ADV	mark	atteignissent
