Text	POS	Dep	Head
CHAPITRE	NOUN	ROOT	CHAPITRE
I	NOUN	amod	CHAPITRE
-----------	PUNCT	ROOT	-----------
Le	DET	det	Delphin
Delphin	PROPN	ROOT	Delphin
.	PUNCT	punct	Delphin
Le	DET	det	fleuve
premier	ADJ	amod	fleuve
fleuve	NOUN	nsubj	Clyde
dont	PRON	nmod	eaux
les	DET	det	eaux
eaux	NOUN	acl:relcl	fleuve
écumèrent	ADV	advmod	roues
sous	ADP	case	roues
les	DET	det	roues
roues	NOUN	nsubj	Clyde
d'	ADP	case	bateau
un	DET	det	bateau
bateau	NOUN	nmod	roues
à	ADP	case	vapeur
vapeur	NOUN	nmod	bateau
fut	AUX	cop	Clyde
la	DET	det	Clyde
Clyde	PROPN	ROOT	Clyde
.	PUNCT	punct	Clyde
C'	PRON	expl:subj	1812
était	AUX	cop	1812
en	ADP	case	1812
1812	NUM	ROOT	1812
.	PUNCT	punct	1812
Ce	DET	det	bateau
bateau	NOUN	nsubj	nommait
se	PRON	expl:comp	nommait
nommait	VERB	ROOT	nommait
la	DET	det	Comète
Comète	NOUN	obj	nommait
et	CCONJ	cc	faisait
il	PRON	nsubj	faisait
faisait	VERB	conj	nommait
un	DET	det	service
service	NOUN	obj	faisait
régulier	ADJ	amod	service
entre	ADP	case	Glasgow
Glasgow	PROPN	obl:arg	faisait
et	CCONJ	cc	Greenock
Greenock	PROPN	conj	Glasgow
,	PUNCT	punct	faisait
avec	ADP	case	vitesse
une	DET	det	vitesse
vitesse	NOUN	obl:mod	faisait
de	ADP	case	milles
six	NUM	nummod	milles
milles	NOUN	nmod	vitesse
à	ADP	case	heure
l'	DET	det	heure
heure	NOUN	nmod	milles
.	PUNCT	punct	nommait
Depuis	ADP	case	époque
cette	DET	det	époque
époque	NOUN	obl:mod	remonté
,	PUNCT	punct	époque
plus	ADV	advmod	un
d'	ADP	fixed	plus
un	DET	det	million
million	NOUN	nmod	époque
de	ADP	case	steamers
steamers	NOUN	nmod	million
ou	CCONJ	cc	pocket
de	ADP	case	pocket
pocket	PROPN	conj	steamers
-	PROPN	nmod	époque
boats	NOUN	nmod	époque
ont	AUX	aux:tense	remonté
remonté	VERB	ROOT	remonté
ou	CCONJ	cc	descendu
descendu	VERB	conj	remonté
le	DET	det	courant
courant	NOUN	obj	descendu
de	ADP	case	rivière
la	DET	det	rivière
rivière	NOUN	nmod	courant
écossaise	ADJ	amod	rivière
,	PUNCT	punct	courant
et	CCONJ	cc	habitants
les	DET	det	habitants
habitants	NOUN	nsubj	doivent
de	ADP	case	cité
la	DET	det	cité
grande	ADJ	amod	cité
cité	NOUN	nmod	habitants
commerçante	ADJ	amod	cité
doivent	VERB	acl:relcl	courant
être	AUX	aux:pass	familiarisés
singulièrement	AUX	aux:tense	familiarisés
familiarisés	VERB	xcomp	doivent
avec	ADP	case	prodiges
les	DET	det	prodiges
prodiges	NOUN	obl:mod	familiarisés
de	ADP	case	navigation
la	DET	det	navigation
navigation	NOUN	nmod	prodiges
à	ADP	case	vapeur
vapeur	NOUN	nmod	navigation
.	PUNCT	punct	remonté
Cependant	ADV	advmod	encombrait
,	PUNCT	punct	encombrait
le	DET	det	3
3	NUM	obl:mod	encombrait
décembre	NOUN	nmod	3
1862	NUM	nmod	décembre
,	PUNCT	punct	encombrait
une	DET	det	foule
foule	NOUN	nsubj	encombrait
énorme	ADJ	amod	foule
,	PUNCT	punct	foule
composée	VERB	acl	foule
d'	ADP	case	armateurs
armateurs	NOUN	obl:arg	composée
,	PUNCT	punct	négociants
de	ADP	case	négociants
négociants	NOUN	conj	foule
,	PUNCT	punct	manufacturiers
de	ADP	case	manufacturiers
manufacturiers	NOUN	conj	foule
,	PUNCT	punct	ouvriers
d'	ADP	case	ouvriers
ouvriers	NOUN	conj	foule
,	PUNCT	punct	foule
de	ADP	case	marins
marins	NOUN	nmod	foule
,	PUNCT	punct	foule
de	ADP	case	femmes
femmes	NOUN	nmod	foule
,	PUNCT	punct	enfants
d'	ADP	case	enfants
enfants	NOUN	conj	femmes
,	PUNCT	punct	foule
encombrait	VERB	ROOT	encombrait
les	DET	det	boueuses
rues	NOUN	amod	boueuses
boueuses	NOUN	obj	encombrait
de	ADP	case	Glasgow
Glasgow	PROPN	nmod	boueuses
et	CCONJ	cc	dirigeait
se	PRON	expl:comp	dirigeait
dirigeait	VERB	conj	encombrait
vers	ADP	case	Kelvin
Kelvin	PROPN	obl:arg	dirigeait
-	PROPN	obl:mod	dirigeait
Dock	PROPN	obl:arg	dirigeait
,	PUNCT	punct	dirigeait
vaste	ADJ	amod	établissement
établissement	NOUN	advmod	dirigeait
de	ADP	case	constructions
constructions	NOUN	nmod	établissement
navales	ADJ	amod	constructions
,	PUNCT	punct	dirigeait
appartenant	VERB	advcl	dirigeait
à	ADP	case	MM.
MM.	NOUN	obl:arg	appartenant
Tod	PROPN	flat:name	MM.
et	CCONJ	cc	Mac
Mac	PROPN	conj	MM.
Grégor	PROPN	flat:name	Mac
.	PUNCT	punct	encombrait
Ce	DET	det	nom
dernier	ADJ	amod	nom
nom	NOUN	nsubj	prouve
prouve	VERB	ROOT	prouve
surabondamment	NOUN	xcomp	prouve
que	SCONJ	mark	devenus
les	DET	det	fameux
fameux	NOUN	nsubj	devenus
descendants	ADJ	amod	fameux
des	ADP	case	Highlanders
Highlanders	NOUN	nmod	fameux
sont	AUX	cop	devenus
devenus	VERB	ccomp	prouve
industriels	ADJ	amod	devenus
,	PUNCT	punct	devenus
et	CCONJ	cc	fait
que	SCONJ	mark	fait
de	ADP	case	vassaux
tous	ADJ	amod	vassaux
ces	DET	det	vassaux
vassaux	NOUN	obl:mod	fait
des	ADP	case	fait
vieux	ADJ	amod	clans
clans	NOUN	iobj	fait
ils	PRON	nsubj	fait
